NodeID	CommunityID
1	1
2	1
3	2
4	2
5	2
6	3
7	2
8	4
9	4
10	4
11	5
12	4
13	4
14	6
15	7
16	8
17	9
18	1
19	1
20	4
21	5
22	5
23	5
24	10
25	10
26	10
27	10
28	10
29	10
30	10
31	10
32	10
33	10
34	10
35	10
36	10
37	10
38	10
39	10
40	10
41	10
42	11
43	9
44	4
45	4
46	8
47	8
48	12
49	12
50	13
51	13
52	11
53	14
54	14
55	2
56	2
57	2
58	2
59	2
60	2
61	14
62	14
63	15
64	2
65	3
66	7
67	16
68	16
69	17
70	17
71	13
72	13
73	5
74	1
75	1
76	10
77	12
78	18
79	18
80	18
81	17
82	17
83	19
84	13
85	13
86	1
87	20
88	21
89	22
90	22
91	16
92	16
93	5
94	7
95	11
96	11
97	22
98	23
99	23
100	23
101	23
102	23
103	2
104	14
105	14
106	24
107	17
108	25
109	16
110	26
111	16
112	16
113	16
114	12
115	12
116	10
117	10
118	27
119	28
120	10
121	1
122	29
123	30
124	10
125	23
126	23
127	2
128	5
129	11
130	7
131	30
132	2
133	2
134	18
135	18
136	10
137	10
138	2
139	2
140	8
141	8
142	4
143	31
144	16
145	13
146	21
147	1
148	21
149	30
150	30
151	14
152	10
153	13
154	13
155	21
156	21
157	30
158	14
159	32
160	32
161	33
162	4
163	13
164	21
165	8
166	10
167	34
168	11
169	7
170	10
171	10
172	12
173	7
174	5
175	2
176	2
177	7
178	1
179	30
180	14
181	30
182	14
183	14
184	35
185	17
186	23
187	13
188	17
189	17
190	17
191	17
192	30
193	2
194	2
195	2
196	2
197	11
198	11
199	11
200	11
201	11
202	11
203	11
204	11
205	11
206	11
207	11
208	11
209	2
210	32
211	32
212	27
213	13
214	4
215	30
216	1
217	8
218	13
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	10
231	5
232	30
233	7
234	32
235	32
236	32
237	32
238	32
239	32
240	32
241	32
242	32
243	32
244	32
245	32
246	12
247	4
248	4
249	1
250	36
251	14
252	10
253	2
254	26
255	13
256	9
257	37
258	7
259	16
260	5
261	5
262	10
263	30
264	12
265	4
266	4
267	4
268	4
269	1
270	8
271	7
272	2
273	8
274	8
275	8
276	7
277	7
278	30
279	30
280	19
281	7
282	2
283	26
284	26
285	30
286	2
287	2
288	17
289	13
290	7
291	20
292	7
293	7
294	4
295	7
296	14
297	14
298	1
299	17
300	17
301	9
302	28
303	22
304	22
305	22
306	2
307	5
308	1
309	29
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	12
320	32
321	14
322	14
323	8
324	23
325	4
326	5
327	5
328	5
329	16
330	16
331	1
332	1
333	4
334	12
335	8
336	8
337	10
338	10
339	10
340	10
341	18
342	1
343	30
344	30
345	30
346	30
347	30
348	30
349	30
350	30
351	30
352	30
353	30
354	23
355	23
356	9
357	16
358	16
359	4
360	4
361	4
362	12
363	4
364	21
365	13
366	37
367	26
368	10
369	14
370	22
371	12
372	23
373	13
374	26
375	4
376	16
377	14
378	14
379	14
380	14
381	14
382	14
383	14
384	14
385	14
386	14
387	14
388	14
389	14
390	14
391	14
392	14
393	14
394	14
395	14
396	14
397	14
398	14
399	14
400	7
401	5
402	7
403	30
404	7
405	23
406	9
407	4
408	4
409	2
410	10
411	16
412	2
413	2
414	7
415	12
416	20
417	5
418	12
419	17
420	18
421	28
422	4
423	21
424	12
425	24
426	7
427	7
428	10
429	8
430	8
431	4
432	13
433	13
434	13
435	37
436	38
437	10
438	10
439	10
440	10
441	7
442	4
443	12
444	12
445	12
446	18
447	8
448	8
449	8
450	12
451	7
452	4
453	4
454	13
455	16
456	12
457	9
458	7
459	7
460	1
461	37
462	8
463	29
464	29
465	10
466	34
467	4
468	17
469	30
470	16
471	10
472	37
473	9
474	17
475	16
476	9
477	16
478	16
479	16
480	12
481	17
482	2
483	18
484	30
485	20
486	12
487	7
488	4
489	4
490	3
491	37
492	10
493	13
494	7
495	10
496	37
497	4
498	18
499	4
500	4
501	4
502	4
503	4
504	4
505	4
506	4
507	4
508	32
509	17
510	17
511	4
512	28
513	26
514	21
515	16
516	7
517	2
518	2
519	21
520	1
521	2
522	18
523	20
524	20
525	5
526	4
527	7
528	12
529	3
530	4
531	4
532	18
533	2
534	38
535	7
536	18
537	17
538	14
539	5
540	18
541	17
542	28
543	7
544	7
545	7
546	10
547	21
548	12
549	10
550	17
551	17
552	17
553	2
554	18
555	18
556	4
557	18
558	18
559	4
560	26
561	1
562	29
563	7
564	20
565	24
566	4
567	4
568	20
569	7
570	4
571	4
572	2
573	20
574	4
575	7
576	30
577	7
578	26
579	26
580	8
581	39
582	18
583	17
584	18
585	20
586	7
587	2
588	2
589	10
590	24
591	10
592	15
593	8
594	11
595	13
596	14
597	28
598	28
599	18
600	32
